TRIP_ID,LATITUDE,LONGITUDE
T1,41.156793919788996,-8.615808377054435
T2,41.17218254101048,-8.597941042954076
T3,41.176455731226326,-8.586706029412923
T4,41.15146881169585,-8.622222177109169
T5,41.157726254319265,-8.61067003308822
T6,41.17361531651888,-8.61409104466044
T7,41.171098583389906,-8.610108524474999
T8,41.19483732632569,-8.559286846715063
T9,41.126635174275194,-8.608690342341367
T10,41.223604875881904,-8.593862600168277
T11,41.1794583619814,-8.610595266213473
T12,41.15516755266061,-8.618232916079455
T13,41.15888642693217,-8.593320944323393
T14,41.1786525914885,-8.658877201226643
T15,41.14905512815756,-8.60581086782375
T16,41.23479635937584,-8.662847039583342
T17,41.15073485182513,-8.634061966119997
T18,41.166081935910775,-8.638392219308523
T19,41.17846574784169,-8.604554959097424
T20,41.17276578660261,-8.63984830130843
T21,41.16575420838908,-8.60346555448489
T22,41.1266057387335,-8.604171311285995
T23,41.17620082211468,-8.642016674968952
T24,41.16428731468691,-8.602111801188824
T25,41.156830447949844,-8.629627893264415
T26,41.16324723424497,-8.616115899465873
T27,41.16748661880125,-8.596567857069338
T28,41.160989433434686,-8.59564611429036
T29,41.147778619503,-8.606667678354226
T30,41.17829446546961,-8.596433445588522
T31,41.17719855652174,-8.601887387449274
T32,41.16374913358303,-8.610841638433403
T33,41.17222593306495,-8.639359141368095
T34,41.164712300336596,-8.595326576983236
T35,41.15653561888389,-8.622034747695846
T36,41.15087970810324,-8.608784027394876
T37,41.17967051049258,-8.678135044244412
T38,41.15734189060745,-8.641931044082892
T39,41.15406765873443,-8.60098462191751
T40,41.1493028189469,-8.631142668423086
T41,41.18662969374559,-8.609935563731078
T42,41.17088049737935,-8.596319104600447
T43,41.149040304754514,-8.622073118595386
T44,41.19967576786026,-8.600741885470336
T45,41.15098861032706,-8.614733152739536
T46,41.16565859405794,-8.59450827093506
T47,41.146908807693286,-8.6158080109429
T48,41.15599110378299,-8.620475955521286
T49,41.16535766354111,-8.541770047293054
T50,41.1509984180447,-8.620670474879576
T51,41.14476154064095,-8.603334362654698
T52,41.14568148557981,-8.62034268029093
T53,41.164342335749936,-8.593021034877381
T54,41.18124323988132,-8.587496983243968
T55,41.16895516393263,-8.611708086459412
T56,41.17204118003808,-8.601509134552167
T57,41.203476641152655,-8.604749620294255
T58,41.156471459801516,-8.619759322957208
T59,41.167132175227785,-8.621741142976823
T60,41.15617789302312,-8.599942008425185
T61,41.161869873118825,-8.616715062408023
T62,41.161646945160314,-8.602294012094617
T63,41.1546331628889,-8.610456895371609
T64,41.17907899057932,-8.57383773100438
T65,41.137665194773554,-8.60250416436957
T66,41.20215471476649,-8.601542581132401
T67,41.14899533767686,-8.611499931179829
T68,41.17143628642521,-8.63916473440346
T69,41.15038901881658,-8.60912124691853
T70,41.155815625734384,-8.612136492837648
T71,41.21621307337972,-8.531083343976485
T72,41.201592003856476,-8.672223451658795
T73,41.165774869659465,-8.599635436518701
T74,41.17336949596528,-8.566633744046824
T75,41.147285985397005,-8.620171408000385
T76,41.15907729870745,-8.621541044464244
T77,41.154959518101805,-8.609895322152882
T78,41.1590435860521,-8.62484061510563
T79,41.17802068922101,-8.593529077713175
T80,41.173204852720424,-8.652623784677502
T81,41.161330839218564,-8.636431862484178
T82,41.16657437564833,-8.644602563387119
T83,41.15938157189051,-8.665052837413056
T84,41.180601386590226,-8.58924911360238
T85,41.148454836498246,-8.616979672941026
T86,41.146735634252586,-8.588635225098452
T87,41.23296740434546,-8.630671439569232
T88,41.182518731397096,-8.603570782998643
T90,41.14418637087295,-8.634570065971829
T91,41.1524124248856,-8.62330948180456
T92,41.2099052026621,-8.665075222458762
T93,41.158170681615864,-8.666368399254212
T94,41.14841008626033,-8.624275023524582
T95,41.15563698137382,-8.609163756937944
T96,41.18056115632653,-8.679507191515434
T98,41.15106169850006,-8.621697361291146
T99,41.15739191134223,-8.62457023066779
T100,41.17008497123587,-8.664439906084866
T101,41.14915589878353,-8.614876466655286
T102,41.14749407523325,-8.606412343623845
T103,41.15213042696199,-8.622779115407397
T104,41.185387905405626,-8.539846564177008
T107,41.15737079658115,-8.598017838158352
T109,41.16216896707813,-8.60309611907567
T110,41.150709927040765,-8.623595943684103
T111,41.161518887719055,-8.634951910242522
T112,41.15388891679916,-8.602480726736658
T113,41.16186022744591,-8.614362759822054
T114,41.16768246056514,-8.585690324114507
T115,41.1301359713769,-8.623296474503723
T116,41.23461739835233,-8.604462689640064
T117,41.205979770665145,-8.536858985529896
T118,41.18096942006846,-8.58300142591882
T119,41.177108400155646,-8.605871137340685
T120,41.179282461152496,-8.622603599298179
T121,41.14231058749433,-8.610937881187667
T122,41.152894693096286,-8.618043483283746
T123,41.15800571596271,-8.673064510549354
T124,41.16043261875862,-8.642274570382423
T125,41.15048599580619,-8.622704630863918
T126,41.152106716501564,-8.615326900847494
T127,41.15331137927789,-8.63935951314544
T128,41.17700713567384,-8.604078673098732
T129,41.1568262128979,-8.614562417251486
T130,41.148797332624525,-8.628930342415774
T131,41.187328850552476,-8.528850933352707
T132,41.14412547988564,-8.628108011708635
T133,41.148514526764046,-8.615460637353184
T134,41.16819113687676,-8.665910873191756
T135,41.16863334519097,-8.606937225051455
T136,41.15969944861857,-8.606595453223814
T137,41.14803958448768,-8.615416227964861
T138,41.12314017952295,-8.597123693195229
T139,41.16116551969291,-8.592221037482002
T140,41.16946897663236,-8.588501334676813
T141,41.13638532003731,-8.603090666459805
T142,41.14984460299911,-8.618193794064975
T143,41.15459945230043,-8.6193320056532
T144,41.14981389145336,-8.605368407395
T145,41.162677143341305,-8.575332213317152
T146,41.16554060245245,-8.620689424617023
T147,41.15368503925971,-8.633865599428004
T148,41.148415406891615,-8.607328148021802
T149,41.230043296495644,-8.669249879318576
T151,41.1563587913426,-8.63049153342247
T152,41.139274163935916,-8.614952346204538
T153,41.15697011611544,-8.627141252226092
T154,41.15475554228377,-8.600017521637062
T155,41.176497473041906,-8.650515912882152
T156,41.14709196237886,-8.615720467104627
T157,41.15383921874462,-8.572361315355673
T158,41.14778049620455,-8.60811349839158
T159,41.15611874045994,-8.618795173794233
T160,41.181571632659825,-8.645772578431995
T161,41.147455919772,-8.595010542725515
T162,41.155525561754466,-8.612849854759984
T163,41.177124982787085,-8.645604520602575
T164,41.15568119379576,-8.613684417454541
T166,41.162550510456796,-8.644352649535492
T167,41.165392730547595,-8.617037995928184
T168,41.16552125120544,-8.603622424159187
T169,41.153544551430144,-8.614898197011492
T170,41.15006109874453,-8.646891117816773
T171,41.15103920232928,-8.64961057852429
T172,41.153502711254355,-8.633502251563106
T173,41.178595926300346,-8.669733524062346
T174,41.1868798015545,-8.590410411482425
T175,41.16351795125262,-8.62891072492906
T176,41.16563272781108,-8.602667346290916
T177,41.1519638549537,-8.637649569974387
T178,41.184341391294964,-8.6628880251371
T179,41.15003414318013,-8.590372559203455
T180,41.14840408954631,-8.619933120840052
T181,41.17857690617948,-8.61098320736354
T182,41.1518239378479,-8.61915509846189
T183,41.1639065042732,-8.608945744829963
T184,41.15743968317328,-8.654255815516551
T185,41.16361124414497,-8.647973115015784
T186,41.1732677321966,-8.631802853017893
T187,41.13894868101379,-8.574449546242597
T188,41.157684535232264,-8.590836152428492
T189,41.15259609190213,-8.605292361600107
T190,41.15978587543245,-8.63109990967623
T191,41.1580901415296,-8.616058051910807
T192,41.16457250123154,-8.644048174825336
T193,41.14965353004257,-8.620103430859139
T194,41.1483429823422,-8.620703125051199
T195,41.15240811415531,-8.600368540982725
T196,41.15008437828178,-8.610769047271146
T197,41.160480991465555,-8.65185586331973
T198,41.14694879549193,-8.613198476555363
T199,41.147305047005624,-8.609922121766607
T200,41.15369133639198,-8.617601438542422
T201,41.14675118066992,-8.616085335927808
T202,41.17138439597094,-8.607935577664358
T203,41.16676652056179,-8.600443437561529
T204,41.15941965191302,-8.61631364280621
T205,41.15538151902495,-8.610429876848993
T206,41.161113860156874,-8.598029414223753
T207,41.14672971963713,-8.598056367161934
T208,41.20802205763661,-8.612565871787115
T209,41.15181040667032,-8.617374453616012
T210,41.15577644612564,-8.631801548930445
T211,41.172724281400654,-8.607296540918515
T212,41.15530688543192,-8.593398893692239
T213,41.13486701535455,-8.637299542930085
T214,41.15466314288862,-8.645775239761509
T215,41.14957323257671,-8.602841728356646
T216,41.15424173171233,-8.601816496851598
T217,41.17298058784016,-8.64949384522473
T218,41.1424240709893,-8.610674414295824
T219,41.155396863948056,-8.647452014857056
T220,41.204921663402615,-8.627591402983391
T221,41.14954185807777,-8.622872438023228
T222,41.14596116160831,-8.599037345603355
T223,41.15812039190384,-8.664515137718963
T224,41.196859799757306,-8.646713535276222
T225,41.151051058047656,-8.64751971316274
T226,41.157087339749,-8.651948461376943
T227,41.14919376757027,-8.619208555268193
T228,41.15090545519766,-8.611407619895928
T229,41.20434103095818,-8.668549851067294
T230,41.14741817158154,-8.617729705335604
T231,41.164694222679024,-8.617904685489092
T232,41.15503173864271,-8.613323232942877
T233,41.1541184717259,-8.611323931639692
T234,41.16228175477665,-8.638759445538442
T235,41.14186335221309,-8.613869888668454
T236,41.155019095011916,-8.610076799846794
T237,41.15826382615446,-8.604724281122744
T238,41.130431406434134,-8.591722089345087
T239,41.17526721124397,-8.658295101933486
T240,41.15592281235731,-8.671606425557481
T241,41.1573010629551,-8.622240260104963
T242,41.161440118039714,-8.59790079719984
T243,41.16915596280698,-8.629550221983894
T244,41.1722102305841,-8.642115745393776
T245,41.17445466706773,-8.619324558501143
T246,41.165577229874636,-8.674756599197126
T247,41.183811870133795,-8.68242309386726
T248,41.16629186132416,-8.65499850683582
